// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.15 sec)   *****
// Found 4 benchmarks:
//   BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-NJKNFH(Toolchain=InProcessEmitToolchain)

WorkloadWarmup   9: 4194304 op, 647634100.00 ns, 154.4080 ns/op

WorkloadActual   1: 4194304 op, 647593300.00 ns, 154.3983 ns/op
WorkloadActual   2: 4194304 op, 649858900.00 ns, 154.9384 ns/op
WorkloadActual   3: 4194304 op, 658591600.00 ns, 157.0205 ns/op
WorkloadActual   4: 4194304 op, 654918700.00 ns, 156.1448 ns/op
WorkloadActual   5: 4194304 op, 648795000.00 ns, 154.6848 ns/op
WorkloadActual   6: 4194304 op, 649443800.00 ns, 154.8395 ns/op
WorkloadActual   7: 4194304 op, 646844200.00 ns, 154.2197 ns/op
WorkloadActual   8: 4194304 op, 645944800.00 ns, 154.0052 ns/op
WorkloadActual   9: 4194304 op, 668905100.00 ns, 159.4794 ns/op
WorkloadActual  10: 4194304 op, 649343000.00 ns, 154.8154 ns/op
WorkloadActual  11: 4194304 op, 648987800.00 ns, 154.7307 ns/op
WorkloadActual  12: 4194304 op, 650443100.00 ns, 155.0777 ns/op
WorkloadActual  13: 4194304 op, 653491400.00 ns, 155.8045 ns/op
WorkloadActual  14: 4194304 op, 650560700.00 ns, 155.1058 ns/op
WorkloadActual  15: 4194304 op, 646449300.00 ns, 154.1255 ns/op

WorkloadResult   1: 4194304 op, 624856600.00 ns, 148.9774 ns/op
WorkloadResult   2: 4194304 op, 627122200.00 ns, 149.5176 ns/op
WorkloadResult   3: 4194304 op, 635854900.00 ns, 151.5996 ns/op
WorkloadResult   4: 4194304 op, 632182000.00 ns, 150.7239 ns/op
WorkloadResult   5: 4194304 op, 626058300.00 ns, 149.2639 ns/op
WorkloadResult   6: 4194304 op, 626707100.00 ns, 149.4186 ns/op
WorkloadResult   7: 4194304 op, 624107500.00 ns, 148.7988 ns/op
WorkloadResult   8: 4194304 op, 623208100.00 ns, 148.5844 ns/op
WorkloadResult   9: 4194304 op, 626606300.00 ns, 149.3946 ns/op
WorkloadResult  10: 4194304 op, 626251100.00 ns, 149.3099 ns/op
WorkloadResult  11: 4194304 op, 627706400.00 ns, 149.6569 ns/op
WorkloadResult  12: 4194304 op, 630754700.00 ns, 150.3836 ns/op
WorkloadResult  13: 4194304 op, 627824000.00 ns, 149.6849 ns/op
WorkloadResult  14: 4194304 op, 623712600.00 ns, 148.7047 ns/op
GC:  32 0 0 603979776 4194304


Mean = 149.5728 ns, StdErr = 0.2226 ns (0.15%); N = 14, StdDev = 0.8329 ns
Min = 148.5844 ns, Q1 = 148.9774 ns, Median = 149.4066 ns, Q3 = 149.6849 ns, Max = 151.5996 ns
IQR = 0.7075 ns, LowerFence = 147.9162 ns, UpperFence = 150.7461 ns
ConfidenceInterval = [148.6333 ns; 150.5123 ns] (CI 99.9%), Margin = 0.9395 ns (0.63% of Mean)
Skewness = 0.99, Kurtosis = 3.13, MValue = 2

// **************************
// Benchmark: BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-NJKNFH(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 380800.00 ns, 380.8000 us/op
WorkloadJitting  1: 1 op, 1217100.00 ns, 1.2171 ms/op

OverheadJitting  2: 16 op, 1102200.00 ns, 68.8875 us/op
WorkloadJitting  2: 16 op, 1012300.00 ns, 63.2687 us/op

WorkloadPilot    1: 16 op, 17100.00 ns, 1.0688 us/op
WorkloadPilot    2: 32 op, 9900.00 ns, 309.3750 ns/op
WorkloadPilot    3: 64 op, 9900.00 ns, 154.6875 ns/op
WorkloadPilot    4: 128 op, 20100.00 ns, 157.0312 ns/op
WorkloadPilot    5: 256 op, 24400.00 ns, 95.3125 ns/op
WorkloadPilot    6: 512 op, 46600.00 ns, 91.0156 ns/op
WorkloadPilot    7: 1024 op, 90700.00 ns, 88.5742 ns/op
WorkloadPilot    8: 2048 op, 162900.00 ns, 79.5410 ns/op
WorkloadPilot    9: 4096 op, 443100.00 ns, 108.1787 ns/op
