// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPingAsync: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-VFKXKE(Toolchain=InProcessEmitToolchain)

OverheadActual  11: 33554432 op, 181549100.00 ns, 5.4106 ns/op
OverheadActual  12: 33554432 op, 184017000.00 ns, 5.4841 ns/op
OverheadActual  13: 33554432 op, 183429200.00 ns, 5.4666 ns/op
OverheadActual  14: 33554432 op, 188039200.00 ns, 5.6040 ns/op
OverheadActual  15: 33554432 op, 185878200.00 ns, 5.5396 ns/op

WorkloadWarmup   1: 33554432 op, 951184000.00 ns, 28.3475 ns/op
WorkloadWarmup   2: 33554432 op, 951135600.00 ns, 28.3460 ns/op
WorkloadWarmup   3: 33554432 op, 949369600.00 ns, 28.2934 ns/op
WorkloadWarmup   4: 33554432 op, 951806900.00 ns, 28.3661 ns/op
WorkloadWarmup   5: 33554432 op, 949367500.00 ns, 28.2934 ns/op
WorkloadWarmup   6: 33554432 op, 949567800.00 ns, 28.2993 ns/op
WorkloadWarmup   7: 33554432 op, 952164000.00 ns, 28.3767 ns/op
WorkloadWarmup   8: 33554432 op, 950053200.00 ns, 28.3138 ns/op

WorkloadActual   1: 33554432 op, 949911100.00 ns, 28.3096 ns/op
WorkloadActual   2: 33554432 op, 949901600.00 ns, 28.3093 ns/op
WorkloadActual   3: 33554432 op, 956251400.00 ns, 28.4985 ns/op
WorkloadActual   4: 33554432 op, 949468900.00 ns, 28.2964 ns/op
WorkloadActual   5: 33554432 op, 949239900.00 ns, 28.2896 ns/op
WorkloadActual   6: 33554432 op, 949451800.00 ns, 28.2959 ns/op
WorkloadActual   7: 33554432 op, 949576800.00 ns, 28.2996 ns/op
WorkloadActual   8: 33554432 op, 949774000.00 ns, 28.3055 ns/op
WorkloadActual   9: 33554432 op, 952604400.00 ns, 28.3898 ns/op
WorkloadActual  10: 33554432 op, 953613300.00 ns, 28.4199 ns/op
WorkloadActual  11: 33554432 op, 952837800.00 ns, 28.3968 ns/op
WorkloadActual  12: 33554432 op, 951166500.00 ns, 28.3470 ns/op
WorkloadActual  13: 33554432 op, 958211400.00 ns, 28.5569 ns/op
WorkloadActual  14: 33554432 op, 958031500.00 ns, 28.5516 ns/op
WorkloadActual  15: 33554432 op, 952464500.00 ns, 28.3857 ns/op

WorkloadResult   1: 33554432 op, 768079900.00 ns, 22.8906 ns/op
WorkloadResult   2: 33554432 op, 768070400.00 ns, 22.8903 ns/op
WorkloadResult   3: 33554432 op, 774420200.00 ns, 23.0795 ns/op
WorkloadResult   4: 33554432 op, 767637700.00 ns, 22.8774 ns/op
WorkloadResult   5: 33554432 op, 767408700.00 ns, 22.8706 ns/op
WorkloadResult   6: 33554432 op, 767620600.00 ns, 22.8769 ns/op
WorkloadResult   7: 33554432 op, 767745600.00 ns, 22.8806 ns/op
WorkloadResult   8: 33554432 op, 767942800.00 ns, 22.8865 ns/op
WorkloadResult   9: 33554432 op, 770773200.00 ns, 22.9708 ns/op
WorkloadResult  10: 33554432 op, 771782100.00 ns, 23.0009 ns/op
WorkloadResult  11: 33554432 op, 771006600.00 ns, 22.9778 ns/op
WorkloadResult  12: 33554432 op, 769335300.00 ns, 22.9280 ns/op
WorkloadResult  13: 33554432 op, 776380200.00 ns, 23.1379 ns/op
WorkloadResult  14: 33554432 op, 776200300.00 ns, 23.1326 ns/op
WorkloadResult  15: 33554432 op, 770633300.00 ns, 22.9667 ns/op
GC:  0 0 0 0 33554432


Mean = 22.9578 ns, StdErr = 0.0241 ns (0.10%); N = 15, StdDev = 0.0933 ns
Min = 22.8706 ns, Q1 = 22.8806 ns, Median = 22.9280 ns, Q3 = 23.0009 ns, Max = 23.1379 ns
IQR = 0.1203 ns, LowerFence = 22.7002 ns, UpperFence = 23.1813 ns
ConfidenceInterval = [22.8580 ns; 23.0576 ns] (CI 99.9%), Margin = 0.0998 ns (0.43% of Mean)
Skewness = 0.81, Kurtosis = 2.16, MValue = 2

// **************************
// Benchmark: BaseBenchmark.CustomPingAsync: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-VFKXKE(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 410800.00 ns, 410.8000 us/op
WorkloadJitting  1: 1 op, 3999700.00 ns, 3.9997 ms/op

OverheadJitting  2: 16 op, 1021000.00 ns, 63.8125 us/op
WorkloadJitting  2: 16 op, 1056700.00 ns, 66.0438 us/op

WorkloadPilot    1: 16 op, 24000.00 ns, 1.5000 us/op
WorkloadPilot    2: 32 op, 22400.00 ns, 700.0000 ns/op
WorkloadPilot    3: 64 op, 30700.00 ns, 479.6875 ns/op
WorkloadPilot    4: 128 op, 51700.00 ns, 403.9062 ns/op
WorkloadPilot    5: 256 op, 67600.00 ns, 264.0625 ns/op
WorkloadPilot    6: 512 op, 118500.00 ns, 231.4453 ns/op
WorkloadPilot    7: 1024 op, 229100.00 ns, 223.7305 ns/op
WorkloadPilot    8: 2048 op, 458700.00 ns, 223.9746 ns/op
WorkloadPilot    9: 4096 op, 774400.00 ns, 189.0625 ns/op
WorkloadPilot   10: 8192 op, 1037700.00 ns, 126.6724 ns/op
WorkloadPilot   11: 16384 op, 2269600.00 ns, 138.5254 ns/op
WorkloadPilot   12: 32768 op, 4110000.00 ns, 125.4272 ns/op
WorkloadPilot   13: 65536 op, 9258900.00 ns, 141.2796 ns/op
WorkloadPilot   14: 131072 op, 17209100.00 ns, 131.2950 ns/op
WorkloadPilot   15: 262144 op, 34349300.00 ns, 131.0322 ns/op
WorkloadPilot   16: 524288 op, 67727600.00 ns, 129.1801 ns/op
WorkloadPilot   17: 1048576 op, 136258700.00 ns, 129.9464 ns/op
WorkloadPilot   18: 2097152 op, 272610500.00 ns, 129.9908 ns/op
WorkloadPilot   19: 4194304 op, 540570100.00 ns, 128.8820 ns/op

OverheadWarmup   1: 4194304 op, 22637300.00 ns, 5.3972 ns/op
OverheadWarmup   2: 4194304 op, 22646800.00 ns, 5.3994 ns/op
OverheadWarmup   3: 4194304 op, 22702000.00 ns, 5.4126 ns/op
OverheadWarmup   4: 4194304 op, 22757800.00 ns, 5.4259 ns/op
OverheadWarmup   5: 4194304 op, 22726600.00 ns, 5.4184 ns/op
OverheadWarmup   6: 4194304 op, 22848500.00 ns, 5.4475 ns/op
OverheadWarmup   7: 4194304 op, 22720100.00 ns, 5.4169 ns/op

OverheadActual   1: 4194304 op, 22740000.00 ns, 5.4216 ns/op
OverheadActual   2: 4194304 op, 22980700.00 ns, 5.4790 ns/op
OverheadActual   3: 4194304 op, 22659100.00 ns, 5.4024 ns/op
OverheadActual   4: 4194304 op, 22653300.00 ns, 5.4010 ns/op
OverheadActual   5: 4194304 op, 22658500.00 ns, 5.4022 ns/op
OverheadActual   6: 4194304 op, 22712200.00 ns, 5.4150 ns/op
OverheadActual   7: 4194304 op, 22699700.00 ns, 5.4120 ns/op
OverheadActual   8: 4194304 op, 22851600.00 ns, 5.4482 ns/op
OverheadActual   9: 4194304 op, 22626900.00 ns, 5.3947 ns/op
OverheadActual  10: 4194304 op, 22675100.00 ns, 5.4062 ns/op
OverheadActual  11: 4194304 op, 22802300.00 ns, 5.4365 ns/op
OverheadActual  12: 4194304 op, 22737200.00 ns, 5.4210 ns/op
OverheadActual  13: 4194304 op, 22608500.00 ns, 5.3903 ns/op
OverheadActual  14: 4194304 op, 22875000.00 ns, 5.4538 ns/op
OverheadActual  15: 4194304 op, 22756700.00 ns, 5.4256 ns/op

WorkloadWarmup   1: 4194304 op, 552029900.00 ns, 131.6142 ns/op
