// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPingAsync: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePingAsync: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-KAAKYE(Toolchain=InProcessEmitToolchain)

WorkloadPilot    8: 2048 op, 443600.00 ns, 216.6016 ns/op
WorkloadPilot    9: 4096 op, 806400.00 ns, 196.8750 ns/op
WorkloadPilot   10: 8192 op, 1677400.00 ns, 204.7607 ns/op
WorkloadPilot   11: 16384 op, 3266900.00 ns, 199.3958 ns/op
WorkloadPilot   12: 32768 op, 6831500.00 ns, 208.4808 ns/op
WorkloadPilot   13: 65536 op, 13335700.00 ns, 203.4866 ns/op
WorkloadPilot   14: 131072 op, 25902300.00 ns, 197.6189 ns/op
WorkloadPilot   15: 262144 op, 44630900.00 ns, 170.2534 ns/op
WorkloadPilot   16: 524288 op, 70872500.00 ns, 135.1786 ns/op
WorkloadPilot   17: 1048576 op, 143058000.00 ns, 136.4307 ns/op
WorkloadPilot   18: 2097152 op, 285080100.00 ns, 135.9368 ns/op
WorkloadPilot   19: 4194304 op, 573728300.00 ns, 136.7875 ns/op

OverheadWarmup   1: 4194304 op, 22796500.00 ns, 5.4351 ns/op
OverheadWarmup   2: 4194304 op, 22746800.00 ns, 5.4233 ns/op
OverheadWarmup   3: 4194304 op, 23181800.00 ns, 5.5270 ns/op
OverheadWarmup   4: 4194304 op, 22645300.00 ns, 5.3991 ns/op
OverheadWarmup   5: 4194304 op, 22637000.00 ns, 5.3971 ns/op
OverheadWarmup   6: 4194304 op, 22644400.00 ns, 5.3988 ns/op
OverheadWarmup   7: 4194304 op, 22665500.00 ns, 5.4039 ns/op
OverheadWarmup   8: 4194304 op, 22759300.00 ns, 5.4262 ns/op
OverheadWarmup   9: 4194304 op, 22922400.00 ns, 5.4651 ns/op
OverheadWarmup  10: 4194304 op, 22708900.00 ns, 5.4142 ns/op

OverheadActual   1: 4194304 op, 22919500.00 ns, 5.4644 ns/op
OverheadActual   2: 4194304 op, 22733400.00 ns, 5.4201 ns/op
OverheadActual   3: 4194304 op, 22646200.00 ns, 5.3993 ns/op
OverheadActual   4: 4194304 op, 22770700.00 ns, 5.4290 ns/op
OverheadActual   5: 4194304 op, 22672900.00 ns, 5.4056 ns/op
OverheadActual   6: 4194304 op, 22660300.00 ns, 5.4026 ns/op
OverheadActual   7: 4194304 op, 22655600.00 ns, 5.4015 ns/op
OverheadActual   8: 4194304 op, 22591100.00 ns, 5.3861 ns/op
OverheadActual   9: 4194304 op, 23789200.00 ns, 5.6718 ns/op
OverheadActual  10: 4194304 op, 22787900.00 ns, 5.4331 ns/op
OverheadActual  11: 4194304 op, 22645900.00 ns, 5.3992 ns/op
OverheadActual  12: 4194304 op, 22725400.00 ns, 5.4182 ns/op
OverheadActual  13: 4194304 op, 22679100.00 ns, 5.4071 ns/op
OverheadActual  14: 4194304 op, 22659300.00 ns, 5.4024 ns/op
OverheadActual  15: 4194304 op, 22798100.00 ns, 5.4355 ns/op

WorkloadWarmup   1: 4194304 op, 573489900.00 ns, 136.7306 ns/op
WorkloadWarmup   2: 4194304 op, 630737700.00 ns, 150.3796 ns/op
WorkloadWarmup   3: 4194304 op, 570694000.00 ns, 136.0641 ns/op
WorkloadWarmup   4: 4194304 op, 566375100.00 ns, 135.0343 ns/op
WorkloadWarmup   5: 4194304 op, 567228600.00 ns, 135.2378 ns/op
WorkloadWarmup   6: 4194304 op, 568555300.00 ns, 135.5541 ns/op
WorkloadWarmup   7: 4194304 op, 569686700.00 ns, 135.8239 ns/op
WorkloadWarmup   8: 4194304 op, 568756000.00 ns, 135.6020 ns/op

WorkloadActual   1: 4194304 op, 572931700.00 ns, 136.5976 ns/op
WorkloadActual   2: 4194304 op, 566446800.00 ns, 135.0514 ns/op
WorkloadActual   3: 4194304 op, 569098500.00 ns, 135.6837 ns/op
WorkloadActual   4: 4194304 op, 571110500.00 ns, 136.1634 ns/op
WorkloadActual   5: 4194304 op, 571343000.00 ns, 136.2188 ns/op
WorkloadActual   6: 4194304 op, 570100000.00 ns, 135.9224 ns/op
WorkloadActual   7: 4194304 op, 567055300.00 ns, 135.1965 ns/op
WorkloadActual   8: 4194304 op, 570026000.00 ns, 135.9048 ns/op
WorkloadActual   9: 4194304 op, 568457300.00 ns, 135.5308 ns/op
WorkloadActual  10: 4194304 op, 566622700.00 ns, 135.0934 ns/op
WorkloadActual  11: 4194304 op, 600301500.00 ns, 143.1230 ns/op
WorkloadActual  12: 4194304 op, 580655000.00 ns, 138.4389 ns/op
WorkloadActual  13: 4194304 op, 571589700.00 ns, 136.2776 ns/op
WorkloadActual  14: 4194304 op, 567672400.00 ns, 135.3436 ns/op
WorkloadActual  15: 4194304 op, 626090100.00 ns, 149.2715 ns/op

WorkloadResult   1: 4194304 op, 550252600.00 ns, 131.1904 ns/op
WorkloadResult   2: 4194304 op, 543767700.00 ns, 129.6443 ns/op
