// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.12 sec)   *****
// Found 3 benchmarks:
//   CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
//   CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
//   CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: CustomActorBenchmarks.ProtoActorPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-IBMQBP(Toolchain=InProcessEmitToolchain)

// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-IBMQBP(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 341800.00 ns, 341.8000 us/op
WorkloadJitting  1: 1 op, 1552300.00 ns, 1.5523 ms/op

OverheadJitting  2: 16 op, 407300.00 ns, 25.4563 us/op
WorkloadJitting  2: 16 op, 3600500.00 ns, 225.0312 us/op

WorkloadPilot    1: 16 op, 3281900.00 ns, 205.1188 us/op
WorkloadPilot    2: 32 op, 6310700.00 ns, 197.2094 us/op
WorkloadPilot    3: 64 op, 12955100.00 ns, 202.4234 us/op
WorkloadPilot    4: 128 op, 27678500.00 ns, 216.2383 us/op
WorkloadPilot    5: 256 op, 59611600.00 ns, 232.8578 us/op
WorkloadPilot    6: 512 op, 105839000.00 ns, 206.7168 us/op
WorkloadPilot    7: 1024 op, 214201100.00 ns, 209.1808 us/op
WorkloadPilot    8: 2048 op, 433724300.00 ns, 211.7794 us/op
WorkloadPilot    9: 4096 op, 853366600.00 ns, 208.3415 us/op

OverheadWarmup   1: 4096 op, 13300.00 ns, 3.2471 ns/op
OverheadWarmup   2: 4096 op, 9800.00 ns, 2.3926 ns/op
OverheadWarmup   3: 4096 op, 12000.00 ns, 2.9297 ns/op
OverheadWarmup   4: 4096 op, 10800.00 ns, 2.6367 ns/op
OverheadWarmup   5: 4096 op, 14200.00 ns, 3.4668 ns/op
OverheadWarmup   6: 4096 op, 11500.00 ns, 2.8076 ns/op

OverheadActual   1: 4096 op, 11200.00 ns, 2.7344 ns/op
OverheadActual   2: 4096 op, 10000.00 ns, 2.4414 ns/op
OverheadActual   3: 4096 op, 9800.00 ns, 2.3926 ns/op
OverheadActual   4: 4096 op, 9800.00 ns, 2.3926 ns/op
OverheadActual   5: 4096 op, 11100.00 ns, 2.7100 ns/op
OverheadActual   6: 4096 op, 12600.00 ns, 3.0762 ns/op
OverheadActual   7: 4096 op, 9700.00 ns, 2.3682 ns/op
OverheadActual   8: 4096 op, 11100.00 ns, 2.7100 ns/op
OverheadActual   9: 4096 op, 13300.00 ns, 3.2471 ns/op
OverheadActual  10: 4096 op, 11400.00 ns, 2.7832 ns/op
OverheadActual  11: 4096 op, 16900.00 ns, 4.1260 ns/op
OverheadActual  12: 4096 op, 11800.00 ns, 2.8809 ns/op
OverheadActual  13: 4096 op, 10900.00 ns, 2.6611 ns/op
OverheadActual  14: 4096 op, 9800.00 ns, 2.3926 ns/op
OverheadActual  15: 4096 op, 23100.00 ns, 5.6396 ns/op
OverheadActual  16: 4096 op, 10300.00 ns, 2.5146 ns/op
OverheadActual  17: 4096 op, 9500.00 ns, 2.3193 ns/op
OverheadActual  18: 4096 op, 12500.00 ns, 3.0518 ns/op
OverheadActual  19: 4096 op, 15000.00 ns, 3.6621 ns/op
OverheadActual  20: 4096 op, 9500.00 ns, 2.3193 ns/op

WorkloadWarmup   1: 4096 op, 876724600.00 ns, 214.0441 us/op
WorkloadWarmup   2: 4096 op, 857583100.00 ns, 209.3709 us/op
WorkloadWarmup   3: 4096 op, 873183800.00 ns, 213.1796 us/op
WorkloadWarmup   4: 4096 op, 855787400.00 ns, 208.9325 us/op
WorkloadWarmup   5: 4096 op, 854619600.00 ns, 208.6474 us/op
WorkloadWarmup   6: 4096 op, 862103800.00 ns, 210.4746 us/op
WorkloadWarmup   7: 4096 op, 857836000.00 ns, 209.4326 us/op

WorkloadActual   1: 4096 op, 861192400.00 ns, 210.2521 us/op
WorkloadActual   2: 4096 op, 864735200.00 ns, 211.1170 us/op
WorkloadActual   3: 4096 op, 861282200.00 ns, 210.2740 us/op
WorkloadActual   4: 4096 op, 861509000.00 ns, 210.3293 us/op
WorkloadActual   5: 4096 op, 860684300.00 ns, 210.1280 us/op
WorkloadActual   6: 4096 op, 860817500.00 ns, 210.1605 us/op
WorkloadActual   7: 4096 op, 881435000.00 ns, 215.1941 us/op
WorkloadActual   8: 4096 op, 889901800.00 ns, 217.2612 us/op
WorkloadActual   9: 4096 op, 864428800.00 ns, 211.0422 us/op
WorkloadActual  10: 4096 op, 857280600.00 ns, 209.2970 us/op
WorkloadActual  11: 4096 op, 862648800.00 ns, 210.6076 us/op
WorkloadActual  12: 4096 op, 905242400.00 ns, 221.0064 us/op
WorkloadActual  13: 4096 op, 877797000.00 ns, 214.3059 us/op
WorkloadActual  14: 4096 op, 878680500.00 ns, 214.5216 us/op
WorkloadActual  15: 4096 op, 883967900.00 ns, 215.8125 us/op

WorkloadResult   1: 4096 op, 861181300.00 ns, 210.2493 us/op
WorkloadResult   2: 4096 op, 864724100.00 ns, 211.1143 us/op
WorkloadResult   3: 4096 op, 861271100.00 ns, 210.2713 us/op
WorkloadResult   4: 4096 op, 861497900.00 ns, 210.3266 us/op
WorkloadResult   5: 4096 op, 860673200.00 ns, 210.1253 us/op
WorkloadResult   6: 4096 op, 860806400.00 ns, 210.1578 us/op
WorkloadResult   7: 4096 op, 881423900.00 ns, 215.1914 us/op
WorkloadResult   8: 4096 op, 889890700.00 ns, 217.2585 us/op
WorkloadResult   9: 4096 op, 864417700.00 ns, 211.0395 us/op
WorkloadResult  10: 4096 op, 857269500.00 ns, 209.2943 us/op
WorkloadResult  11: 4096 op, 862637700.00 ns, 210.6049 us/op
WorkloadResult  12: 4096 op, 905231300.00 ns, 221.0037 us/op
WorkloadResult  13: 4096 op, 877785900.00 ns, 214.3032 us/op
WorkloadResult  14: 4096 op, 878669400.00 ns, 214.5189 us/op
WorkloadResult  15: 4096 op, 883956800.00 ns, 215.8098 us/op
GC:  52 4 0 983695360 4096


Mean = 212.7513 us, StdErr = 0.8819 us (0.41%); N = 15, StdDev = 3.4157 us
Min = 209.2943 us, Q1 = 210.2493 us, Median = 211.0395 us, Q3 = 215.1914 us, Max = 221.0037 us
IQR = 4.9420 us, LowerFence = 202.8363 us, UpperFence = 222.6044 us
ConfidenceInterval = [209.0997 us; 216.4028 us] (CI 99.9%), Margin = 3.6516 us (1.72% of Mean)
Skewness = 0.94, Kurtosis = 2.73, MValue = 2

Successfully reverted power plan (GUID: 381b4222-f694-41f0-9685-ff5bb260df2e FriendlyName: Balanced)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\ActorFrameworkBenchmarks.CustomActorBenchmarks-report.csv
  BenchmarkDotNet.Artifacts\results\ActorFrameworkBenchmarks.CustomActorBenchmarks-report-github.md
