// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.13 sec)   *****
// Found 3 benchmarks:
//   AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
//   AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=100]
//   AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: AkkaBenchmarks.AkkaPing: InProcess(Toolchain=InProcessEmitToolchain) [Concurrency=1]
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-VNIDHJ(Toolchain=InProcessEmitToolchain)

// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-VNIDHJ(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 323700.00 ns, 323.7000 us/op
WorkloadJitting  1: 1 op, 3198000.00 ns, 3.1980 ms/op

OverheadJitting  2: 16 op, 409400.00 ns, 25.5875 us/op
WorkloadJitting  2: 16 op, 56380300.00 ns, 3.5238 ms/op

WorkloadPilot    1: 16 op, 55605700.00 ns, 3.4754 ms/op
WorkloadPilot    2: 32 op, 111151100.00 ns, 3.4735 ms/op
WorkloadPilot    3: 64 op, 227493500.00 ns, 3.5546 ms/op
WorkloadPilot    4: 128 op, 456231200.00 ns, 3.5643 ms/op
WorkloadPilot    5: 256 op, 924815800.00 ns, 3.6126 ms/op

OverheadWarmup   1: 256 op, 7700.00 ns, 30.0781 ns/op
OverheadWarmup   2: 256 op, 2100.00 ns, 8.2031 ns/op
OverheadWarmup   3: 256 op, 1700.00 ns, 6.6406 ns/op
OverheadWarmup   4: 256 op, 2100.00 ns, 8.2031 ns/op
OverheadWarmup   5: 256 op, 1400.00 ns, 5.4688 ns/op
OverheadWarmup   6: 256 op, 1500.00 ns, 5.8594 ns/op
OverheadWarmup   7: 256 op, 1600.00 ns, 6.2500 ns/op
OverheadWarmup   8: 256 op, 2200.00 ns, 8.5938 ns/op
OverheadWarmup   9: 256 op, 3500.00 ns, 13.6719 ns/op
OverheadWarmup  10: 256 op, 1300.00 ns, 5.0781 ns/op

OverheadActual   1: 256 op, 1700.00 ns, 6.6406 ns/op
OverheadActual   2: 256 op, 1600.00 ns, 6.2500 ns/op
OverheadActual   3: 256 op, 1700.00 ns, 6.6406 ns/op
OverheadActual   4: 256 op, 2300.00 ns, 8.9844 ns/op
OverheadActual   5: 256 op, 2000.00 ns, 7.8125 ns/op
OverheadActual   6: 256 op, 1500.00 ns, 5.8594 ns/op
OverheadActual   7: 256 op, 2200.00 ns, 8.5938 ns/op
OverheadActual   8: 256 op, 1700.00 ns, 6.6406 ns/op
OverheadActual   9: 256 op, 1600.00 ns, 6.2500 ns/op
OverheadActual  10: 256 op, 3500.00 ns, 13.6719 ns/op
OverheadActual  11: 256 op, 1700.00 ns, 6.6406 ns/op
OverheadActual  12: 256 op, 1400.00 ns, 5.4688 ns/op
OverheadActual  13: 256 op, 4000.00 ns, 15.6250 ns/op
OverheadActual  14: 256 op, 1500.00 ns, 5.8594 ns/op
OverheadActual  15: 256 op, 1600.00 ns, 6.2500 ns/op
OverheadActual  16: 256 op, 2400.00 ns, 9.3750 ns/op
OverheadActual  17: 256 op, 2900.00 ns, 11.3281 ns/op
OverheadActual  18: 256 op, 1500.00 ns, 5.8594 ns/op
OverheadActual  19: 256 op, 6400.00 ns, 25.0000 ns/op
OverheadActual  20: 256 op, 1600.00 ns, 6.2500 ns/op

WorkloadWarmup   1: 256 op, 922545800.00 ns, 3.6037 ms/op
WorkloadWarmup   2: 256 op, 909444200.00 ns, 3.5525 ms/op
WorkloadWarmup   3: 256 op, 920290000.00 ns, 3.5949 ms/op
WorkloadWarmup   4: 256 op, 916964300.00 ns, 3.5819 ms/op
WorkloadWarmup   5: 256 op, 917529200.00 ns, 3.5841 ms/op
WorkloadWarmup   6: 256 op, 916479900.00 ns, 3.5800 ms/op

WorkloadActual   1: 256 op, 900373000.00 ns, 3.5171 ms/op
WorkloadActual   2: 256 op, 895264400.00 ns, 3.4971 ms/op
WorkloadActual   3: 256 op, 900058700.00 ns, 3.5159 ms/op
WorkloadActual   4: 256 op, 942767100.00 ns, 3.6827 ms/op
WorkloadActual   5: 256 op, 958333300.00 ns, 3.7435 ms/op
WorkloadActual   6: 256 op, 922688700.00 ns, 3.6043 ms/op
WorkloadActual   7: 256 op, 916740100.00 ns, 3.5810 ms/op
WorkloadActual   8: 256 op, 947984900.00 ns, 3.7031 ms/op
WorkloadActual   9: 256 op, 908262400.00 ns, 3.5479 ms/op
WorkloadActual  10: 256 op, 914530200.00 ns, 3.5724 ms/op
WorkloadActual  11: 256 op, 912636900.00 ns, 3.5650 ms/op
WorkloadActual  12: 256 op, 909027000.00 ns, 3.5509 ms/op
WorkloadActual  13: 256 op, 947674000.00 ns, 3.7019 ms/op
WorkloadActual  14: 256 op, 952425800.00 ns, 3.7204 ms/op
WorkloadActual  15: 256 op, 960750800.00 ns, 3.7529 ms/op
WorkloadActual  16: 256 op, 913479800.00 ns, 3.5683 ms/op
WorkloadActual  17: 256 op, 902141000.00 ns, 3.5240 ms/op
WorkloadActual  18: 256 op, 922559700.00 ns, 3.6037 ms/op
WorkloadActual  19: 256 op, 916496000.00 ns, 3.5801 ms/op
WorkloadActual  20: 256 op, 924014900.00 ns, 3.6094 ms/op

WorkloadResult   1: 256 op, 900371300.00 ns, 3.5171 ms/op
WorkloadResult   2: 256 op, 895262700.00 ns, 3.4971 ms/op
WorkloadResult   3: 256 op, 900057000.00 ns, 3.5158 ms/op
WorkloadResult   4: 256 op, 942765400.00 ns, 3.6827 ms/op
WorkloadResult   5: 256 op, 958331600.00 ns, 3.7435 ms/op
WorkloadResult   6: 256 op, 922687000.00 ns, 3.6042 ms/op
WorkloadResult   7: 256 op, 916738400.00 ns, 3.5810 ms/op
WorkloadResult   8: 256 op, 947983200.00 ns, 3.7031 ms/op
WorkloadResult   9: 256 op, 908260700.00 ns, 3.5479 ms/op
WorkloadResult  10: 256 op, 914528500.00 ns, 3.5724 ms/op
WorkloadResult  11: 256 op, 912635200.00 ns, 3.5650 ms/op
WorkloadResult  12: 256 op, 909025300.00 ns, 3.5509 ms/op
WorkloadResult  13: 256 op, 947672300.00 ns, 3.7018 ms/op
WorkloadResult  14: 256 op, 952424100.00 ns, 3.7204 ms/op
WorkloadResult  15: 256 op, 960749100.00 ns, 3.7529 ms/op
WorkloadResult  16: 256 op, 913478100.00 ns, 3.5683 ms/op
WorkloadResult  17: 256 op, 902139300.00 ns, 3.5240 ms/op
WorkloadResult  18: 256 op, 922558000.00 ns, 3.6037 ms/op
WorkloadResult  19: 256 op, 916494300.00 ns, 3.5801 ms/op
WorkloadResult  20: 256 op, 924013200.00 ns, 3.6094 ms/op
GC:  91 44 0 360298256 256


Mean = 3.6071 ms, StdErr = 0.0181 ms (0.50%); N = 20, StdDev = 0.0810 ms
Min = 3.4971 ms, Q1 = 3.5494 ms, Median = 3.5805 ms, Q3 = 3.6923 ms, Max = 3.7529 ms
IQR = 0.1429 ms, LowerFence = 3.3351 ms, UpperFence = 3.9066 ms
