// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 5 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:00 (0.15 sec)   *****
// Found 5 benchmarks:
//   BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomPing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomClassPing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomNonRefPing: InProcess(Toolchain=InProcessEmitToolchain)
//   BaseBenchmark.CustomRefPing: InProcess(Toolchain=InProcessEmitToolchain)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: BaseBenchmark.BasePing: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-MQSEUF(Toolchain=InProcessEmitToolchain)

WorkloadActual   9: 8388608 op, 660414000.00 ns, 78.7275 ns/op
WorkloadActual  10: 8388608 op, 665402400.00 ns, 79.3221 ns/op
WorkloadActual  11: 8388608 op, 661600900.00 ns, 78.8690 ns/op
WorkloadActual  12: 8388608 op, 660034300.00 ns, 78.6822 ns/op
WorkloadActual  13: 8388608 op, 666460600.00 ns, 79.4483 ns/op
WorkloadActual  14: 8388608 op, 661318900.00 ns, 78.8354 ns/op
WorkloadActual  15: 8388608 op, 659043100.00 ns, 78.5641 ns/op

WorkloadResult   1: 8388608 op, 617656500.00 ns, 73.6304 ns/op
WorkloadResult   2: 8388608 op, 618900900.00 ns, 73.7787 ns/op
WorkloadResult   3: 8388608 op, 617744900.00 ns, 73.6409 ns/op
WorkloadResult   4: 8388608 op, 616033200.00 ns, 73.4369 ns/op
WorkloadResult   5: 8388608 op, 619204000.00 ns, 73.8149 ns/op
WorkloadResult   6: 8388608 op, 617099000.00 ns, 73.5639 ns/op
WorkloadResult   7: 8388608 op, 615163500.00 ns, 73.3332 ns/op
WorkloadResult   8: 8388608 op, 620151900.00 ns, 73.9279 ns/op
WorkloadResult   9: 8388608 op, 616350400.00 ns, 73.4747 ns/op
WorkloadResult  10: 8388608 op, 614783800.00 ns, 73.2879 ns/op
WorkloadResult  11: 8388608 op, 621210100.00 ns, 74.0540 ns/op
WorkloadResult  12: 8388608 op, 616068400.00 ns, 73.4411 ns/op
WorkloadResult  13: 8388608 op, 613792600.00 ns, 73.1698 ns/op
GC:  0 0 0 0 8388608


Mean = 73.5811 ns, StdErr = 0.0722 ns (0.10%); N = 13, StdDev = 0.2602 ns
Min = 73.1698 ns, Q1 = 73.3850 ns, Median = 73.5639 ns, Q3 = 73.7968 ns, Max = 74.0540 ns
IQR = 0.4118 ns, LowerFence = 72.7674 ns, UpperFence = 74.4144 ns
ConfidenceInterval = [73.2695 ns; 73.8927 ns] (CI 99.9%), Margin = 0.3116 ns (0.42% of Mean)
Skewness = 0.22, Kurtosis = 1.84, MValue = 2

// **************************
// Benchmark: BaseBenchmark.CustomClassPing: InProcess(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0-preview4-27615-11 (CoreCLR 4.6.27615.73, CoreFX 4.700.19.21213), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-MQSEUF(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 409400.00 ns, 409.4000 us/op
WorkloadJitting  1: 1 op, 1005400.00 ns, 1.0054 ms/op

OverheadJitting  2: 16 op, 2001700.00 ns, 125.1063 us/op
WorkloadJitting  2: 16 op, 1152800.00 ns, 72.0500 us/op

WorkloadPilot    1: 16 op, 11300.00 ns, 706.2500 ns/op
WorkloadPilot    2: 32 op, 18300.00 ns, 571.8750 ns/op
WorkloadPilot    3: 64 op, 12000.00 ns, 187.5000 ns/op
WorkloadPilot    4: 128 op, 18200.00 ns, 142.1875 ns/op
WorkloadPilot    5: 256 op, 30900.00 ns, 120.7031 ns/op
WorkloadPilot    6: 512 op, 94400.00 ns, 184.3750 ns/op
WorkloadPilot    7: 1024 op, 123500.00 ns, 120.6055 ns/op
WorkloadPilot    8: 2048 op, 217400.00 ns, 106.1523 ns/op
WorkloadPilot    9: 4096 op, 412800.00 ns, 100.7812 ns/op
WorkloadPilot   10: 8192 op, 880100.00 ns, 107.4341 ns/op
WorkloadPilot   11: 16384 op, 2204400.00 ns, 134.5459 ns/op
WorkloadPilot   12: 32768 op, 3713000.00 ns, 113.3118 ns/op
